WardCode,WARDNAME,Population,NumberOfCrimes,CrimeRatePer100kPeople,RatePercentile,RateRank,HighCrimeRate,TotalCrimes,AvgMonthly,TrendChange,TrendPct,TrendSlope,Months,FirstMonth,LastMonth
N08000224,LOUGH ROAD,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000225,LOUGHBRICKLAND,3010.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000226,LOUGHGALL,3027.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000227,MAGHERALIN,6006.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000228,MAHON,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000229,MARKETHILL,3114.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000230,MOURNEVIEW,2495.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000231,NAVAN,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000232,PARKLAKE,4621.0,1.0,21.640337,0.9199134199134199,38,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000233,QUILLY,2546.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000234,RATHFRILAND,2772.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000235,RICHHILL,2913.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000236,SEAGAHAN,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000237,SHANKILL,4324.0,1.0,23.126734,0.9285714285714286,34,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000238,TANDRAGEE,3067.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000239,THE BIRCHES,4163.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000240,THE MALL,1975.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000241,WARINGSTOWN,4860.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000301,ANDERSONSTOWN,4544.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000302,ARDOYNE,5900.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000303,BALLYGOMARTIN,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000304,BALLYMACARRETT,5047.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000305,BALLYMURPHY,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000306,BALLYSILLAN,5804.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000307,BEECHMOUNT,5429.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000308,BEERSBRIDGE,,1.0,0.0,0.4512987012987013,47,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000309,BELLEVUE,5163.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000310,BELMONT,6148.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000311,BELVOIR,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000312,BLACKSTAFF,4503.0,1.0,22.207417,0.9242424242424242,36,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000313,BLOOMFIELD,5373.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000315,CENTRAL,2941.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000316,CHICHESTER PARK,5480.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000317,CLIFTONVILLE,5486.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000318,CLONARD,5217.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000319,COLLIN GLEN,5712.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000320,CONNSWATER,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000321,CREGAGH,2185.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000322,DUNCAIRN,5701.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000323,DUNMURRY,4241.0,1.0,23.579344,0.9307359307359307,33,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000324,FALLS,5258.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000325,FALLS PARK,5201.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000326,FINAGHY,4498.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000327,FORTH RIVER,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000328,FORTWILLIAM,4416.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000332,INNISFAYLE,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000333,KNOCK,4645.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000334,LADYBROOK,6179.0,1.0,16.18385,0.9047619047619048,45,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000335,LAGMORE,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000336,LEGONIEL,6984.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
