Cluster,Latitude,Longitude,CrimeCount
179,55.04287,-7.044257,84
180,54.8472,-6.719164,8
181,54.293503,-7.466268,77
182,54.53915,-6.724416,9
183,54.29145,-5.718323,10
184,55.20445,-6.5237045,121
185,54.616665,-6.554387,49
186,54.349873,-6.0924554,6
187,54.533905,-6.33191,28
188,54.503345,-6.532658,14
189,54.182182,-6.411938,75
190,54.63163,-6.8191576,5
191,54.419235,-6.2589283,110
192,54.106995,-6.1856923,61
193,54.550175,-6.142541,17
194,54.291348,-5.837752,51
195,55.14952,-6.465797,16
196,54.782997,-6.396858,7
197,54.854713,-6.328397,34
198,55.031113,-7.1183586,85
199,54.969044,-6.673033,12
200,55.163403,-6.882764,44
201,54.10076,-6.1981897,115
202,54.913692,-6.492795,7
203,54.941296,-5.901459,9
204,54.62053,-6.215489,541
205,54.270428,-5.837789,12
206,54.551083,-5.744584,624
207,54.37263,-6.5503325,88
208,55.03346,-7.3597455,68
209,54.10832,-5.9010916,137
210,55.15454,-6.408253,19
211,54.540966,-5.961464,18
212,54.081432,-6.4526367,63
213,54.394306,-7.6963444,18
214,54.71808,-7.234804,71
215,54.590054,-7.270177,26
216,54.53665,-5.560509,95
217,54.189514,-7.4409986,11
218,54.45597,-6.79312,7
219,54.873043,-6.485722,35
220,54.12721,-6.344956,37
221,54.71769,-7.381467,276
222,54.460575,-6.890259,37
223,54.46752,-6.3833914,27
224,54.317726,-7.535896,70
225,55.046104,-7.2732654,132
226,55.078423,-6.564098,8
227,54.296894,-6.5223413,192
228,54.229523,-6.770756,5
229,54.53356,-6.674803,67
230,54.439495,-6.507167,10
231,54.09767,-6.416184,8
232,54.359585,-6.5727706,12
233,55.07928,-6.905655,14
234,55.061954,-6.3046994,6
235,54.544598,-5.948369,7
236,54.50802,-6.835352,53
237,54.441616,-5.464521,30
238,54.544407,-6.077298,9
239,54.168316,-6.3132133,42
240,54.998234,-6.3315682,115
241,54.457714,-6.6049323,12
242,55.1005,-6.710564,69
243,54.341118,-6.5447598,45
244,54.351875,-6.838729,45
245,55.12975,-6.795732,8
246,54.71681,-6.159019,20
247,54.544086,-6.2566824,28
248,55.065147,-6.563618,58
249,54.840744,-7.450086,31
250,54.062508,-6.643458,28
251,54.693844,-6.6690373,186
252,54.75576,-5.711817,282
253,54.195896,-6.290671,12
254,54.297565,-7.871643,24
255,54.409546,-6.565324,35
256,54.44591,-6.691782,282
257,54.38782,-6.701729,72
258,54.473392,-5.691235,24
259,54.70835,-5.9958663,8
260,54.698368,-6.1431026,26
261,54.58223,-5.734982,8
262,54.61878,-6.734466,11
263,54.37978,-6.63936,14
264,54.36058,-6.609302,11
265,54.463394,-6.565023,6
266,54.63549,-6.1481194,36
267,54.472565,-6.3557053,34
268,54.096485,-6.18531,23
269,54.48085,-8.089479,41
270,54.61962,-5.877861,18
271,54.3099,-5.774605,5
272,54.424862,-7.5958147,71
273,54.819073,-6.47772,6
274,54.32845,-7.465475,6
275,54.23447,-6.0225043,7
276,54.30577,-5.842329,27
277,54.89513,-5.859221,35
278,54.591507,-6.2145653,161
279,54.7218,-6.2362285,22
280,55.165882,-6.83643,6
281,54.99148,-5.9925056,110
282,54.253212,-7.447714,354
283,54.48737,-5.478928,27
284,54.9086,-6.66528,28
285,55.16486,-6.5740175,25
286,54.793755,-6.7817044,215
287,54.49461,-5.46441,74
288,54.239735,-6.5031724,18
289,54.636803,-6.0944476,10
290,55.071854,-6.4710107,15
291,54.635082,-6.140225,6
292,54.912174,-7.1547723,81
293,54.07344,-5.979961,33
294,54.62327,-6.812339,8
295,54.300083,-6.345207,7
296,54.89286,-7.02022,30
297,54.965996,-6.2235394,16
298,54.72581,-6.044221,9
299,54.337643,-6.257501,30
300,54.19686,-6.40764,11
301,54.725235,-6.5644417,6
302,54.851433,-5.7662745,13
303,54.20931,-6.3722777,10
304,54.190197,-6.4051147,11
305,54.121933,-6.392239,73
306,54.338764,-7.6778426,5
307,54.857296,-7.4052567,44
308,54.953148,-6.3576417,14
309,54.770294,-6.673785,25
310,54.39107,-6.5152893,20
311,54.702637,-6.0898423,42
312,54.934174,-6.5788465,7
313,54.421986,-6.288396,33
314,54.308563,-6.377101,28
315,54.580803,-6.107897,18
316,54.74217,-6.237284,18
317,55.126476,-6.646715,209
318,54.638424,-5.997504,7
319,55.0339,-7.184759,8
320,55.121548,-6.73745,21
321,54.515553,-7.6765046,5
322,55.148586,-6.92444,74
323,54.439743,-6.5122075,49
324,54.77217,-5.7523475,62
325,54.26103,-6.247536,6
326,54.54715,-5.986833,9
327,54.43622,-6.3345428,28
328,54.39518,-6.655738,5
329,54.53958,-5.9315376,76
330,54.477493,-6.0901985,49
331,54.709484,-6.093141,25
332,54.86236,-7.3840704,5
333,54.82784,-5.813274,26
334,54.345436,-7.338195,9
335,54.50304,-5.7908525,151
336,54.550037,-6.072441,37
337,54.809875,-6.517256,52
338,54.760284,-6.049087,68
339,54.640247,-6.726886,5
340,54.487823,-7.13585,9
341,54.27328,-6.468665,9
342,54.83449,-6.603665,19
