WardCode,WARDNAME,Population,NumberOfCrimes,CrimeRatePer100kPeople,RatePercentile,RateRank,HighCrimeRate,TotalCrimes,AvgMonthly,TrendChange,TrendPct,TrendSlope,Months,FirstMonth,LastMonth,YoYCurrent,YoYPrior,YoYChange,AnnualizedCrimeRatePer100k,TotalHarm,HarmScorePer100k,RatingScore,RatingBand
N08000308,BEERSBRIDGE,6610,1145,5939.053382321158,0.9567099567099567,21,True,1145,32.714285714285715,-0.8572869389813418,-12.878787878787884,-0.008094009161909856,35,2023-01,2025-11,20,23,-13.043478260869565,5939.053382321158,1506,7811.54095526259,86.7,High
N08000309,BELLEVUE,5427,376,2375.424464976704,0.7316017316017316,125,False,376,10.742857142857142,-1.0441619065167984,-33.99999999999999,-0.0074324920681373445,35,2023-01,2025-11,5,9,-44.44444444444444,2375.424464976704,520,3285.161494116718,71.5,Elevated
N08000310,BELMONT,4695,136,993.1538110451847,0.30735930735930733,321,False,136,3.8857142857142857,-0.5679801206957759,-42.10526315789475,0.0008352648833761444,35,2023-01,2025-11,6,4,50.0,993.1538110451847,190,1387.4942948425376,45.7,Stable
N08000311,BELVOIR,5359,323,2066.4836190120755,0.6796536796536796,149,False,323,9.228571428571428,-3.29663494433041,-82.8125,-0.06089392278650589,35,2023-01,2025-11,4,8,-50.0,2066.4836190120755,395,2527.123930370805,49.8,Stable
N08000312,BLACKSTAFF,7547,1422,6460.088209127563,0.9675324675324676,16,True,1422,40.628571428571426,-3.44507751424407,-39.99999999999999,-0.034703161773520834,35,2023-01,2025-11,35,17,105.88235294117648,6460.088209127563,1824,8286.35787162354,73.6,Elevated
N08000313,BLOOMFIELD,5894,905,5264.433564399632,0.9437229437229437,27,True,905,25.857142857142858,-0.8483203257550045,-17.241379310344815,0.028847643570492375,35,2023-01,2025-11,22,20,10.0,5264.433564399632,981,5706.529642735954,95.6,High
N08000315,CENTRAL,15446,8758,19440.261926342468,1.0,1,True,8758,250.22857142857143,-12.408822133022577,-44.36728395061729,-0.170921664017154,35,2023-01,2025-11,223,220,1.3636363636363635,19440.261926342468,11146,24740.9407891086,70.2,Elevated
N08000316,CHICHESTER PARK,5409,686,4348.308374930672,0.8961038961038961,49,True,686,19.6,-3.8207925063166335,-56.88073394495413,-0.07545262512474023,35,2023-01,2025-11,12,4,200.0,4348.308374930672,1021,6471.753426828302,64.3,Watch
N08000317,CLIFTONVILLE,5657,365,2212.1770751786657,0.7056277056277056,137,False,365,10.428571428571429,-2.003417594720405,-66.66666666666666,-0.0412468328324789,35,2023-01,2025-11,3,9,-66.66666666666666,2212.1770751786657,508,3078.865627919897,54.4,Stable
N08000318,CLONARD,5999,955,5458.052532564952,0.9502164502164502,24,True,955,27.285714285714285,-3.8339723287214547,-56.55737704918033,-0.05187605964205992,35,2023-01,2025-11,17,26,-34.61538461538461,5458.052532564952,1235,7058.319243683471,69.6,Watch
N08000319,COLLIN GLEN,5656,476,2885.431400282885,0.7857142857142857,100,False,476,13.6,0.11786892975011765,6.666666666666653,0.010895447287826012,35,2023-01,2025-11,13,11,18.181818181818183,2885.431400282885,566,3430.9961608405733,82.8,Elevated
N08000320,CONNSWATER,5929,689,3984.290292268029,0.8722943722943723,60,True,689,19.685714285714287,-3.0359251138471923,-50.9433962264151,-0.022866289372892024,35,2023-01,2025-11,19,15,26.666666666666668,3984.290292268029,909,5256.4874828325665,71.1,Elevated
N08000321,CREGAGH,4587,285,2130.243856862562,0.6904761904761905,144,False,285,8.142857142857142,-0.5086839619213719,-23.333333333333332,-0.007877578762047656,35,2023-01,2025-11,8,5,60.0,2130.243856862562,379,2832.8506026347754,68.5,Watch
N08000322,DUNCAIRN,8338,1708,6747.764109241682,0.9718614718614719,14,True,1641,46.885714285714286,-3.1182537778843837,-37.681159420289845,-0.01575588258810361,35,2023-01,2025-11,34,34,0.0,6747.764109241682,2110,8676.284138025563,82.4,Elevated
N08000323,DUNMURRY,5207,371,2442.865373535625,0.7424242424242424,120,False,371,10.6,-1.7284424812752066,-60.0,-0.029748792161381557,35,2023-01,2025-11,4,5,-20.0,2442.865373535625,447,2943.290625257209,59.2,Watch
N08000324,FALLS,5179,913,6044.189446390643,0.9588744588744589,20,True,913,26.085714285714285,-7.594773765849263,-73.75,-0.11525753379165908,35,2023-01,2025-11,15,16,-6.25,6044.189446390643,1230,8142.774391084877,67.9,Watch
N08000325,FALLS PARK,4742,855,6181.840091582815,0.9632034632034632,18,True,855,24.428571428571427,-3.5849852382960776,-59.30232558139535,-0.03313851900945954,35,2023-01,2025-11,16,27,-40.74074074074074,6181.840091582815,990,7157.9201060432615,73.6,Elevated
N08000326,FINAGHY,4525,144,1091.0812943962114,0.36147186147186144,296,False,144,4.114285714285714,-0.7366482504604054,-43.478260869565226,-0.006128418218115968,35,2023-01,2025-11,0,2,-100.0,1091.0812943962114,211,1598.737174427782,46.2,Stable
