WARDNAME,Geo_Code,Mid_Year_Ending,Gender,Age_Group,Population_Estimate
BALLYCLARE NORTH,95WW02,2020,All persons,All ages,4222
BALLYCLARE SOUTH,95WW03,2020,All persons,All ages,3677
BALLYDUFF,95WW04,2020,All persons,All ages,2769
BALLYHENRY,95WW05,2020,All persons,All ages,2730
BALLYNURE,95WW06,2020,All persons,All ages,3412
BALLYROBERT,95WW07,2020,All persons,All ages,4609
BURNTHILL,95WW08,2020,All persons,All ages,2422
CARNMONEY,95WW09,2020,All persons,All ages,2668
CLOUGHFERN,95WW10,2020,All persons,All ages,3014
COLLINBRIDGE,95WW11,2020,All persons,All ages,3102
COOLE,95WW12,2020,All persons,All ages,2474
DOAGH,95WW13,2020,All persons,All ages,3745
DUNANNEY,95WW14,2020,All persons,All ages,2279
GLEBE,95WW15,2020,All persons,All ages,3223
GLENGORMLEY,95WW16,2020,All persons,All ages,2807
HAWTHORNE,95WW17,2020,All persons,All ages,2227
HIGHTOWN,95WW18,2020,All persons,All ages,2281
JORDANSTOWN,95WW19,2020,All persons,All ages,6118
MALLUSK,95WW20,2020,All persons,All ages,10010
MONKSTOWN,95WW21,2020,All persons,All ages,3574
MOSSLEY,95WW22,2020,All persons,All ages,2942
ROSTULLA,95WW23,2020,All persons,All ages,4691
VALLEY,95WW24,2020,All persons,All ages,3918
WHITEHOUSE,95WW25,2020,All persons,All ages,2139
BALLYCROCHAN,95XX01,2020,All persons,All ages,5068
BALLYHOLME,95XX02,2020,All persons,All ages,2716
BALLYMACONNELL,95XX03,2020,All persons,All ages,2607
BALLYMAGEE,95XX04,2020,All persons,All ages,3557
BANGOR CASTLE,95XX05,2020,All persons,All ages,2654
BLOOMFIELD,95XX06,2020,All persons,All ages,4032
BROADWAY,95XX07,2020,All persons,All ages,2712
BRYANSBURN,95XX08,2020,All persons,All ages,2550
CHURCHILL,95XX09,2020,All persons,All ages,2909
CLANDEBOYE,95XX10,2020,All persons,All ages,5169
CONLIG,95XX11,2020,All persons,All ages,7769
CRAIGAVAD,95XX12,2020,All persons,All ages,2592
CRAWFORDSBURN,95XX13,2020,All persons,All ages,3078
CULTRA,95XX14,2020,All persons,All ages,2557
DUFFERIN,95XX15,2020,All persons,All ages,2711
GROOMSPORT,95XX16,2020,All persons,All ages,3071
HARBOUR,95XX17,2020,All persons,All ages,3128
HOLYWOOD DEMESNE,95XX18,2020,All persons,All ages,2912
HOLYWOOD PRIORY,95XX19,2020,All persons,All ages,2781
LOUGHVIEW,95XX20,2020,All persons,All ages,3060
PRINCETOWN,95XX21,2020,All persons,All ages,2926
RATHGAEL,95XX22,2020,All persons,All ages,2158
SILVERSTREAM,95XX23,2020,All persons,All ages,3251
SPRINGHILL,95XX24,2020,All persons,All ages,2676
WHITEHILL,95XX25,2020,All persons,All ages,2521
BERAGH,95YY01,2020,All persons,All ages,2704
CAMOWEN,95YY02,2020,All persons,All ages,2340
CLANABOGAN,95YY03,2020,All persons,All ages,3300
COOLNAGARD,95YY04,2020,All persons,All ages,3438
DERGMONEY,95YY05,2020,All persons,All ages,1612
DROMORE,95YY06,2020,All persons,All ages,2343
DRUMNAKILLY,95YY07,2020,All persons,All ages,3049
DRUMQUIN,95YY08,2020,All persons,All ages,2309
DRUMRAGH,95YY09,2020,All persons,All ages,2340
FAIRY WATER,95YY10,2020,All persons,All ages,2201
FINTONA,95YY11,2020,All persons,All ages,2033
GORTIN,95YY12,2020,All persons,All ages,3075
GORTRUSH,95YY13,2020,All persons,All ages,2906
KILLYCLOGHER,95YY14,2020,All persons,All ages,3235
LISANELLY,95YY15,2020,All persons,All ages,2129
NEWTOWNSAVILLE,95YY16,2020,All persons,All ages,2601
OWENKILLEW,95YY17,2020,All persons,All ages,2492
SIXMILECROSS,95YY18,2020,All persons,All ages,2372
STRULE,95YY19,2020,All persons,All ages,1534
TERMON,95YY20,2020,All persons,All ages,2540
TRILLICK,95YY21,2020,All persons,All ages,2509
ARTIGARVAN,95ZZ01,2020,All persons,All ages,2899
BALLYCOLMAN,95ZZ02,2020,All persons,All ages,1687
CASTLEDERG,95ZZ03,2020,All persons,All ages,2069
CLARE,95ZZ04,2020,All persons,All ages,2653
DUNNAMANAGH,95ZZ05,2020,All persons,All ages,2253
EAST,95ZZ06,2020,All persons,All ages,1660
FINN,95ZZ07,2020,All persons,All ages,2946
GLENDERG,95ZZ08,2020,All persons,All ages,2692
NEWTOWNSTEWART,95ZZ09,2020,All persons,All ages,2214
NORTH,95ZZ10,2020,All persons,All ages,3470
PLUMBRIDGE,95ZZ11,2020,All persons,All ages,2188
SION MILLS,95ZZ12,2020,All persons,All ages,2336
SLIEVEKIRK,95ZZ13,2020,All persons,All ages,2525
SOUTH,95ZZ14,2020,All persons,All ages,3244
VICTORIA BRIDGE,95ZZ15,2020,All persons,All ages,2323
WEST,95ZZ16,2020,All persons,All ages,3213
