WARDNAME,Geo_Code,Mid_Year_Ending,Gender,Age_Group,Population_Estimate
KATESBRIDGE,95FF11,2020,All persons,All ages,2854
LAWRENCETOWN,95FF12,2020,All persons,All ages,2752
LOUGHBRICKLAND,95FF13,2020,All persons,All ages,3010
QUILLY,95FF14,2020,All persons,All ages,2546
RATHFRILAND,95FF15,2020,All persons,All ages,2772
SEAPATRICK,95FF16,2020,All persons,All ages,2391
THE CUT,95FF17,2020,All persons,All ages,1747
ANDERSONSTOWN,95GG01,2020,All persons,All ages,4544
ARDOYNE,95GG02,2020,All persons,All ages,5900
BALLYHACKAMORE,95GG03,2020,All persons,All ages,5836
BALLYMACARRETT,95GG04,2020,All persons,All ages,5047
BALLYNAFEIGH,95GG05,2020,All persons,All ages,6063
BALLYSILLAN,95GG06,2020,All persons,All ages,5804
BEECHMOUNT,95GG07,2020,All persons,All ages,5429
BELLEVUE,95GG08,2020,All persons,All ages,5163
BELMONT,95GG09,2020,All persons,All ages,6148
BLACKSTAFF,95GG10,2020,All persons,All ages,4503
BLOOMFIELD,95GG11,2020,All persons,All ages,5373
BOTANIC,95GG12,2020,All persons,All ages,10803
CASTLEVIEW,95GG13,2020,All persons,All ages,4665
CAVEHILL,95GG14,2020,All persons,All ages,4829
CHERRYVALLEY,95GG15,2020,All persons,All ages,5926
CHICHESTER PARK,95GG16,2020,All persons,All ages,5480
CLIFTONVILLE,95GG17,2020,All persons,All ages,5486
CLONARD,95GG18,2020,All persons,All ages,5217
CRUMLIN,95GG19,2020,All persons,All ages,4839
DUNCAIRN,95GG20,2020,All persons,All ages,5701
FALLS,95GG21,2020,All persons,All ages,5258
FALLS PARK,95GG22,2020,All persons,All ages,5201
FINAGHY,95GG23,2020,All persons,All ages,4498
FORTWILLIAM,95GG24,2020,All persons,All ages,4416
GLEN ROAD,95GG25,2020,All persons,All ages,5598
GLENCAIRN,95GG26,2020,All persons,All ages,3846
GLENCOLIN,95GG27,2020,All persons,All ages,6608
HIGHFIELD,95GG28,2020,All persons,All ages,5626
ISLAND,95GG29,2020,All persons,All ages,5500
KNOCK,95GG30,2020,All persons,All ages,4645
LADYBROOK,95GG31,2020,All persons,All ages,6179
LEGONIEL,95GG32,2020,All persons,All ages,6984
MALONE,95GG33,2020,All persons,All ages,5460
MUSGRAVE,95GG34,2020,All persons,All ages,4836
NEW LODGE,95GG35,2020,All persons,All ages,4748
ORANGEFIELD,95GG36,2020,All persons,All ages,5724
RAVENHILL,95GG37,2020,All persons,All ages,6486
ROSETTA,95GG38,2020,All persons,All ages,6820
SHAFTESBURY,95GG39,2020,All persons,All ages,7750
SHANKILL,95GG40,2020,All persons,All ages,4324
STORMONT,95GG41,2020,All persons,All ages,5630
STRANMILLIS,95GG42,2020,All persons,All ages,8355
SYDENHAM,95GG43,2020,All persons,All ages,5035
THE MOUNT,95GG44,2020,All persons,All ages,6297
UPPER MALONE,95GG45,2020,All persons,All ages,4955
UPPER SPRINGFIELD,95GG46,2020,All persons,All ages,4959
WATER WORKS,95GG47,2020,All persons,All ages,6584
WHITEROCK,95GG48,2020,All persons,All ages,5624
WINDSOR,95GG49,2020,All persons,All ages,7730
WOODSTOCK,95GG50,2020,All persons,All ages,5736
WOODVALE,95GG51,2020,All persons,All ages,4143
BLACKHEAD,95HH01,2020,All persons,All ages,2014
BLUEFIELD,95HH02,2020,All persons,All ages,2911
BONEYBEFORE,95HH03,2020,All persons,All ages,1675
BURLEIGH HILL,95HH04,2020,All persons,All ages,2767
CLIPPERSTOWN,95HH05,2020,All persons,All ages,2042
EDEN,95HH06,2020,All persons,All ages,4883
GORTALEE,95HH07,2020,All persons,All ages,1607
GREENISLAND,95HH08,2020,All persons,All ages,3015
KILLYCROT,95HH09,2020,All persons,All ages,2778
KNOCKAGH,95HH10,2020,All persons,All ages,2785
LOVE LANE,95HH11,2020,All persons,All ages,1560
MILEBUSH,95HH12,2020,All persons,All ages,1542
NORTHLAND,95HH13,2020,All persons,All ages,1455
SUNNYLANDS,95HH14,2020,All persons,All ages,1495
VICTORIA,95HH15,2020,All persons,All ages,2433
WHITEHEAD,95HH16,2020,All persons,All ages,2046
WOODBURN,95HH17,2020,All persons,All ages,2349
BALLYHANWOOD,95II01,2020,All persons,All ages,3278
BEECHILL,95II02,2020,All persons,All ages,4900
CAIRNSHILL,95II03,2020,All persons,All ages,3997
CARROWREAGH,95II04,2020,All persons,All ages,6357
CARRYDUFF EAST,95II05,2020,All persons,All ages,3711
CARRYDUFF WEST,95II06,2020,All persons,All ages,3406
CREGAGH,95II07,2020,All persons,All ages,2185
DOWNSHIRE,95II08,2020,All persons,All ages,2439
DUNDONALD,95II09,2020,All persons,All ages,3440
