Month,Longitude,Latitude,Location,Crime type
2025-11,-5.963464,54.682251,On or near Ladysmith Lane,anti-social-behaviour
2025-11,-5.957839,54.688966,On or near Manse Drive,anti-social-behaviour
2025-11,-5.959506,54.688824,On or near Carntall View,criminal-damage-arson
2025-11,-5.966078,54.686104,On or near Glencraig Gardens,criminal-damage-arson
2025-11,-5.956615,54.687095,On or near Manse Road,drugs
2025-11,-5.958483,54.688187,On or near Manse Terrace,violent-crime
2025-11,-5.956615,54.687095,On or near Manse Road,other-crime
2025-11,-5.956296,54.678931,On or near Burnthill Gardens,anti-social-behaviour
2025-11,-5.951174,54.684577,On or near Carnvue Road,anti-social-behaviour
2025-11,-5.951303,54.682944,On or near Carnvue Avenue,shoplifting
2025-11,-5.951303,54.682944,On or near Carnvue Avenue,violent-crime
2025-11,-5.916988,54.677444,On or near Ardranny Drive,anti-social-behaviour
2025-11,-5.914882,54.677704,On or near Kings Avenue,anti-social-behaviour
2025-11,-5.913892,54.676142,On or near Fernagh Road,anti-social-behaviour
2025-11,-5.944863,54.67597,On or near Glebe Manor,other-theft
2025-11,-5.920258,54.673241,On or near Renagh Park,other-theft
2025-11,-5.916988,54.677444,On or near Ardranny Drive,violent-crime
2025-11,-5.954923,54.668935,On or near Antrim Road,anti-social-behaviour
2025-11,-5.955467,54.667668,On or near Glengormley Park,criminal-damage-arson
2025-11,-5.957341,54.663378,On or near Collinbridge Drive,drugs
2025-11,-5.977734,54.663783,On or near Upper Hollybrook Heights,vehicle-crime
2025-11,-5.957436,54.665186,On or near Glenwell Grove,violent-crime
2025-11,-5.954923,54.668935,On or near Antrim Road,violent-crime
2025-11,-6.330031,54.78231,On or near ,anti-social-behaviour
2025-11,-6.332295,54.756754,On or near Glendale Gardens,anti-social-behaviour
2025-11,-6.340893,54.764167,On or near ,anti-social-behaviour
2025-11,-6.32963,54.744903,On or near The Gables,burglary
2025-11,-6.329504,54.746061,On or near The Gables,burglary
2025-11,-6.326584,54.757367,On or near Ahoghill Road,violent-crime
2025-11,-6.327841,54.747978,On or near Kemmilhill Heights,violent-crime
2025-11,-6.213047,54.622463,On or near Helen Street,anti-social-behaviour
2025-11,-6.216598,54.620566,On or near Orchard Road,anti-social-behaviour
2025-11,-6.215095,54.620939,On or near Mill Road,anti-social-behaviour
2025-11,-6.220183,54.621086,On or near Hill Street,drugs
2025-11,-6.220183,54.621086,On or near Hill Street,other-theft
2025-11,-6.221232,54.617624,On or near Landgarve Manor,other-theft
2025-11,-6.216598,54.620566,On or near Orchard Road,violent-crime
2025-11,-6.218148,54.620885,On or near Cidercourt Road,violent-crime
2025-11,-6.223589,54.621091,On or near Cidercourt Park,violent-crime
2025-11,-6.222632,54.618894,On or near Glenavy Road,violent-crime
2025-11,-6.216811,54.619599,On or near Orchard Road,violent-crime
2025-11,-6.039125,54.736823,On or near Village Green,anti-social-behaviour
2025-11,-6.039782,54.737696,On or near Anderson Park,anti-social-behaviour
2025-11,-6.037769,54.738212,On or near Anderson Court,anti-social-behaviour
2025-11,-6.042349,54.736956,On or near Ravensburn Court,burglary
2025-11,-6.041639,54.736532,On or near Exchange Avenue,drugs
2025-11,-6.042552,54.737247,On or near The Burn Road,other-theft
2025-11,-6.013597,54.763811,On or near Rashee Road,violent-crime
2025-11,-6.048679,54.76288,On or near Old Mill Mews,violent-crime
2025-11,-6.050242,54.758817,On or near Douglas Avenue,violent-crime
2025-11,-6.04803,54.759572,On or near Kellburn Park,other-crime
2025-11,-5.935598,54.686837,On or near Forthill Gardens,anti-social-behaviour
2025-11,-6.204323,54.71181,On or near Belfast Road,anti-social-behaviour
2025-11,-6.213087,54.708723,On or near Greenvale Manor,drugs
2025-11,-6.212608,54.711861,On or near Thyme Park,other-theft
2025-11,-6.202296,54.710639,On or near Belfast Road,other-theft
2025-11,-6.208275,54.712992,On or near Avon Court,violent-crime
2025-11,-6.213942,54.712563,On or near Allen Court,violent-crime
2025-11,-6.213547,54.710608,On or near The Cedars,violent-crime
2025-11,-6.212479,54.709137,On or near Greenvale Manor,violent-crime
2025-11,-6.199092,54.713961,On or near Hillcrest,violent-crime
2025-11,-6.213087,54.708723,On or near Greenvale Manor,other-crime
2025-11,-5.944395,54.670212,On or near Collinward Gardens,anti-social-behaviour
2025-11,-5.94906,54.672376,On or near Tobarcooran Avenue,anti-social-behaviour
2025-11,-5.947048,54.670167,On or near Collinward Drive,anti-social-behaviour
2025-11,-5.95269,54.672958,On or near Glebecoole Avenue,anti-social-behaviour
2025-11,-5.960359,54.676772,On or near Queens Park,anti-social-behaviour
2025-11,-5.963415,54.677353,On or near ,anti-social-behaviour
2025-11,-5.958673,54.669582,On or near ,anti-social-behaviour
2025-11,-5.963301,54.673739,On or near Antrim Road,anti-social-behaviour
2025-11,-5.956116,54.674184,On or near Glebe Road West,anti-social-behaviour
2025-11,-5.958801,54.677841,On or near ,anti-social-behaviour
2025-11,-5.963128,54.670079,On or near Rural Gardens,anti-social-behaviour
2025-11,-5.959826,54.673178,On or near ,anti-social-behaviour
2025-11,-5.967857,54.67502,On or near Burneys Mews,burglary
2025-11,-5.952983,54.67237,On or near Glebecoole Avenue,criminal-damage-arson
2025-11,-5.959095,54.670443,On or near Farmley Park,criminal-damage-arson
2025-11,-5.95269,54.672958,On or near Glebecoole Avenue,criminal-damage-arson
2025-11,-5.96348,54.671101,On or near Harmin Avenue,criminal-damage-arson
2025-11,-5.959961,54.668939,On or near Farmley Gardens,criminal-damage-arson
2025-11,-5.951802,54.674579,On or near Ashgrove Road,criminal-damage-arson
2025-11,-5.963415,54.677353,On or near ,other-theft
2025-11,-5.961312,54.672601,On or near Harmin Parade,other-theft
2025-11,-5.959023,54.671574,On or near Ballyclare Road,shoplifting
2025-11,-5.964978,54.674926,On or near ,shoplifting
2025-11,-5.960067,54.678267,On or near ,violent-crime
2025-11,-5.967773,54.675468,On or near Burneys Lane,violent-crime
2025-11,-5.963301,54.673739,On or near Antrim Road,violent-crime
2025-11,-5.958946,54.674636,On or near Hillview Drive,violent-crime
2025-11,-5.96348,54.671101,On or near Harmin Avenue,violent-crime
2025-11,-5.956978,54.67091,On or near Church Road,violent-crime
2025-11,-5.959259,54.677067,On or near Queens Park,violent-crime
2025-11,-5.961312,54.672601,On or near Harmin Parade,violent-crime
2025-11,-5.960284,54.669915,On or near Farmley Park,violent-crime
2025-11,-5.957284,54.678418,On or near Queens Avenue,violent-crime
2025-11,-5.963955,54.673993,On or near Moyola Park,violent-crime
2025-11,-6.188752,54.709898,On or near Firmount Drive,anti-social-behaviour
2025-11,-6.193274,54.7094,On or near Brantwood Gardens,anti-social-behaviour
2025-11,-6.18698,54.710663,On or near Firmount Drive,anti-social-behaviour
2025-11,-6.187553,54.712773,On or near Rathmore Gardens,anti-social-behaviour
2025-11,-6.184367,54.707668,On or near Craighill,anti-social-behaviour
2025-11,-6.191442,54.711151,On or near Brantwood Gardens,anti-social-behaviour
2025-11,-6.188752,54.709898,On or near Firmount Drive,burglary
2025-11,-6.187553,54.712773,On or near Rathmore Gardens,criminal-damage-arson
2025-11,-6.188752,54.709898,On or near Firmount Drive,criminal-damage-arson
2025-11,-6.186902,54.711362,On or near Islandbawn Drive,criminal-damage-arson
2025-11,-6.191539,54.708287,On or near Grange Lodge,other-theft
2025-11,-6.188447,54.712913,On or near Rathmore Gardens,shoplifting
2025-11,-6.18698,54.710663,On or near Firmount Drive,violent-crime
2025-11,-6.184367,54.707668,On or near Craighill,violent-crime
2025-11,-6.183323,54.704633,On or near Ballycraigy Drive,violent-crime
2025-11,-6.185528,54.710856,On or near Donore Crescent,violent-crime
2025-11,-5.913167,54.694198,On or near Oaklands Drive,criminal-damage-arson
2025-11,-5.91604,54.69352,On or near Laral Gardens,violent-crime
2025-11,-5.908788,54.693089,On or near Mulberry Park,violent-crime
2025-11,-5.909743,54.694723,On or near Burnet Avenue,violent-crime
2025-11,-6.031045,54.679972,On or near Clarke Lodge Road,anti-social-behaviour
2025-11,-5.99739,54.672556,On or near ,anti-social-behaviour
2025-11,-6.006684,54.673356,On or near ,burglary
2025-11,-5.980448,54.669992,On or near ,criminal-damage-arson
2025-11,-5.979617,54.668945,On or near Mayfield Dale,criminal-damage-arson
2025-11,-5.990356,54.680948,On or near Lower Rogan Manor,criminal-damage-arson
2025-11,-5.993768,54.685021,On or near Antrim Road,drugs
2025-11,-5.987971,54.67116,On or near ,drugs
2025-11,-5.986071,54.681991,On or near Willowtree Park,other-theft
2025-11,-5.993776,54.678884,On or near Trench Road,other-theft
2025-11,-5.990915,54.676213,On or near Blackwater Business Park,robbery
2025-11,-5.980448,54.669992,On or near ,shoplifting
2025-11,-5.993768,54.685021,On or near Antrim Road,violent-crime
2025-11,-6.000427,54.689938,On or near Ballycraigy Road South,violent-crime
2025-11,-6.002505,54.67857,On or near Highgate Grove,violent-crime
2025-11,-6.006438,54.679938,On or near Parkmount Road,violent-crime
2025-11,-6.001839,54.676349,On or near ,violent-crime
2025-11,-5.983192,54.678133,On or near Michelin Road,violent-crime
2025-11,-6.004534,54.675135,On or near Hydepark Manor,other-crime
2025-11,-5.90846,54.686192,On or near Hollybank Park,anti-social-behaviour
2025-11,-5.90692,54.688088,On or near ,burglary
2025-11,-5.907003,54.687083,On or near Ards Drive,criminal-damage-arson
2025-11,-5.913572,54.687826,On or near Cashel Drive,criminal-damage-arson
2025-11,-5.907003,54.687083,On or near Ards Drive,drugs
2025-11,-5.907003,54.687083,On or near Ards Drive,possession-of-weapons
2025-11,-5.907003,54.687083,On or near Ards Drive,robbery
2025-11,-5.919246,54.688777,On or near River Walk,violent-crime
2025-11,-5.904047,54.677931,On or near Glenabbey Crescent,violent-crime
2025-11,-5.907827,54.685238,On or near Hollybank Drive,violent-crime
2025-11,-5.907003,54.687083,On or near Ards Drive,other-crime
2025-11,-5.948743,54.689424,On or near Beechgrove Crescent,anti-social-behaviour
2025-11,-5.997633,54.708867,On or near Springwell Road,anti-social-behaviour
2025-11,-5.947232,54.692022,On or near Hazelburn Road,criminal-damage-arson
2025-11,-5.950432,54.69222,On or near Rowan Grove,drugs
2025-11,-5.945034,54.693772,On or near Ravensdale,drugs
2025-11,-5.947232,54.692022,On or near Hazelburn Road,violent-crime
2025-11,-5.950432,54.69222,On or near Rowan Grove,violent-crime
2025-11,-5.949367,54.692741,On or near Cherrymount,violent-crime
2025-11,-5.925099,54.667682,On or near Braden Heights,anti-social-behaviour
2025-11,-5.920233,54.664013,On or near Barna Square,anti-social-behaviour
2025-11,-5.920639,54.663652,On or near Clonbeg Drive,anti-social-behaviour
2025-11,-5.918854,54.666137,On or near Bradan Court,anti-social-behaviour
2025-11,-5.928114,54.667527,On or near ,anti-social-behaviour
2025-11,-5.922459,54.663225,On or near Carmeen Drive,anti-social-behaviour
2025-11,-5.925317,54.663112,On or near Clonmore Green,anti-social-behaviour
2025-11,-5.928649,54.66281,On or near Rathmore Way,anti-social-behaviour
2025-11,-5.921392,54.662874,On or near Clonbeg Drive,anti-social-behaviour
2025-11,-5.919128,54.664111,On or near Rosslea Way,anti-social-behaviour
2025-11,-5.925317,54.663112,On or near Clonmore Green,criminal-damage-arson
2025-11,-5.923984,54.670089,On or near Old Irish Highway,criminal-damage-arson
2025-11,-5.9196,54.663373,On or near Belmore Gardens,drugs
2025-11,-5.926549,54.668749,On or near Dunowen Pass,drugs
2025-11,-5.92425,54.665798,On or near Carmeen Drive,drugs
2025-11,-5.925874,54.670426,On or near Dunanney,vehicle-crime
2025-11,-5.919128,54.664111,On or near Rosslea Way,violent-crime
2025-11,-5.922258,54.664425,On or near Carmeen Drive,violent-crime
2025-11,-5.921089,54.667586,On or near Innisrush Gardens,violent-crime
2025-11,-5.920233,54.664013,On or near Barna Square,violent-crime
2025-11,-5.923682,54.664171,On or near Carnreagh Bend,violent-crime
2025-11,-5.922258,54.664425,On or near Carmeen Drive,other-crime
2025-11,-6.143939,54.78221,On or near Barnish Road,anti-social-behaviour
2025-11,-6.090614,54.762227,On or near ,anti-social-behaviour
2025-11,-6.097055,54.722985,On or near Connor Road,other-theft
2025-11,-6.173136,54.744173,On or near Crosskennan Lane,violent-crime
2025-11,-6.142184,54.78725,On or near Barnish Road,other-crime
2025-11,-6.320757,54.748024,On or near The Parade,anti-social-behaviour
2025-11,-6.308848,54.748703,On or near Ashdale,anti-social-behaviour
2025-11,-6.319736,54.750939,On or near Neillsbrook Road,anti-social-behaviour
2025-11,-6.304533,54.748247,On or near The Meadows,anti-social-behaviour
2025-11,-6.320301,54.75003,On or near New Street,anti-social-behaviour
2025-11,-6.319379,54.749811,On or near Main Street,anti-social-behaviour
2025-11,-6.321276,54.752371,On or near ,criminal-damage-arson
2025-11,-6.324146,54.747954,On or near Church View,criminal-damage-arson
2025-11,-6.321375,54.757484,On or near Coolsythe Walk,criminal-damage-arson
2025-11,-6.320496,54.749072,On or near John Street,criminal-damage-arson
2025-11,-6.323246,54.752074,On or near Neillsbrook Park,drugs
2025-11,-6.306859,54.746106,On or near Roseville Avenue,drugs
2025-11,-6.307793,54.746433,On or near Roseville Crescent,other-theft
2025-11,-6.320757,54.748024,On or near The Parade,other-theft
2025-11,-6.309187,54.747639,On or near Castle Drive,vehicle-crime
2025-11,-6.325315,54.746335,On or near Briermount,violent-crime
2025-11,-6.312478,54.746921,On or near Shanes Street,violent-crime
2025-11,-6.320301,54.75003,On or near New Street,violent-crime
2025-11,-6.323297,54.752713,On or near Neillsbrook Park,violent-crime
2025-11,-5.919593,54.668351,On or near Iona Gardens,anti-social-behaviour
2025-11,-5.920687,54.668172,On or near Innis Avenue,anti-social-behaviour
2025-11,-5.917434,54.672079,On or near Coolshannagh Park,criminal-damage-arson
2025-11,-5.918498,54.669159,On or near East Way,criminal-damage-arson
2025-11,-5.918912,54.670747,On or near ,criminal-damage-arson
